id_prov,rt_2015,rt_2014,rt_2013
1,5002,4906.8,4811.1
2,4152.8,4104.9,4056.3
3,1372.8,1343.9,1315.1
4,11955.2,11704.9,11452.5
5,1874.9,1844.8,1814.4
6,1133.2,1115.6,1098
7,871.5,849.8,828.3
8,10177.9,10075.3,9969.9
9,3402.1,3344.4,3286.1
10,46709.6,46029.6,45340.8
11,33774.1,33522.7,33264.3
12,38847.6,38610.2,38363.2
13,4789.6,4716.1,4641.4
14,3989.8,3922.8,3854.5
15,2495,2439.9,2384.7
16,4068.6,3969.6,3870.8
17,-,-,-
18,1973,1917.4,1861.4
19,8117.3,8026.2,7932.1
20,1162.3,1138.7,1114.9
21,1686.5,1657.4,1628.4
22,4835.6,4773.8,4710.8
23,5120.1,5036.9,4954
24,3149.4,3091,3032.5
25,6344.4,6188.4,6033.3
26,1282.2,1258.1,1234.3
27,8520.3,8432.2,8342
28,2876.7,2831.3,2785.5
29,2499.5,2448.1,2396.7
30,2412.1,2386.6,2360.4
31,5196.3,5131.9,5066.5
32,8052.3,7941.5,7828.7
33,13937.8,13766.9,13590.3
34,3679.2,3637.1,3594.9
